,latitude,longitude,blk_no,road_name,postal_code,address
448,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
449,1.37171017826289,103.894247824437,100,HOUGANG AVENUE 10,538767,HOUGANG AVE 10
450,1.37171017826289,103.894247824437,100,HOUGANG AVENUE 10,538767,HOUGANG AVE 10
451,1.35090140232399,103.882553439306,,LOR AH SOO,NIL,LOR AH SOO
452,1.37809447457177,103.88930278963,,HOUGANG ST 51,NIL,HOUGANG ST 51
453,1.35434107010009,103.878220827232,,NIL,NIL,UPP SERANGOON RD
454,1.3712462173575,103.893846918178,809,HOUGANG CENTRAL,530809,HOUGANG CTRL
455,1.37560507051106,103.879455004929,1,HOUGANG STREET 91,538692,HOUGANG ST 91
456,1.37560507051106,103.879455004929,1,HOUGANG STREET 91,538692,HOUGANG ST 91
457,1.37560507051106,103.879455004929,1,HOUGANG STREET 91,538692,HOUGANG ST 91
458,1.37423994622641,103.878829717618,,HOUGANG ST 92,NIL,HOUGANG ST 92
459,1.38276060770762,103.88209303275,,BUANGKOK LINK,NIL,BUANGKOK LINK
460,1.38089498895572,103.879323168238,982,BUANGKOK CRESCENT,530982,BUANGKOK CRES
461,1.37809447457177,103.88930278963,,HOUGANG ST 51,NIL,HOUGANG ST 51
462,1.37560507051106,103.879455004929,1,HOUGANG STREET 91,538692,HOUGANG ST 91
463,1.37560507051106,103.879455004929,1,HOUGANG STREET 91,538692,HOUGANG ST 91
464,1.37809447457177,103.88930278963,,HOUGANG ST 51,NIL,HOUGANG ST 51
465,1.37361587694624,103.885758919948,682,HOUGANG AVENUE 4,530682,HOUGANG AVE 4
466,1.37560507051106,103.879455004929,1,HOUGANG STREET 91,538692,HOUGANG ST 91
467,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
468,1.37560507051106,103.879455004929,1,HOUGANG STREET 91,538692,HOUGANG ST 91
469,1.37560507051106,103.879455004929,1,HOUGANG STREET 91,538692,HOUGANG ST 91
470,1.37171017826289,103.894247824437,100,HOUGANG AVENUE 10,538767,HOUGANG AVE 10
471,1.35383705299112,103.886917032282,121,HOUGANG AVENUE 1,530121,HOUGANG AVE 1
472,1.35090140232399,103.882553439306,,LOR AH SOO,NIL,LOR AH SOO
473,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
474,1.36232963358964,103.890049555893,373A,HOUGANG STREET 31,531373,HOUGANG ST 31
475,1.37171017826289,103.894247824437,100,HOUGANG AVENUE 10,538767,HOUGANG AVE 10
476,1.37423994622641,103.878829717618,,HOUGANG ST 92,NIL,HOUGANG ST 92
477,1.37606587851406,103.888593893569,699D,HOUGANG STREET 52,538699,HOUGANG ST 52
478,1.37143736463902,103.881261079192,644,HOUGANG AVENUE 8,530644,HOUGANG AVE 8
479,1.37171017826289,103.894247824437,100,HOUGANG AVENUE 10,538767,HOUGANG AVE 10
480,1.36868496277618,103.884309433634,120,HOUGANG AVENUE 2,538858,HOUGANG AVE 2
481,1.31984221429939,103.750394506449,,NIL,NIL,PANDAN GDNS
482,1.32052026841644,103.742651512921,37,TEBAN GARDENS ROAD,600037,TEBAN GDNS RD
483,1.34256242373969,103.739259690913,249,JURONG EAST STREET 24,600249,JURONG EAST ST 24
484,1.34256242373969,103.739259690913,249,JURONG EAST STREET 24,600249,JURONG EAST ST 24
485,1.33651456396491,103.744135775847,100,JURONG EAST STREET 21,609602,JURONG EAST ST 21
486,1.31984221429939,103.750394506449,,NIL,NIL,PANDAN GDNS
487,1.34224789591235,103.737310855243,91,JURONG EAST AVENUE 1,609786,JURONG EAST AVE 1
488,1.34256242373969,103.739259690913,249,JURONG EAST STREET 24,600249,JURONG EAST ST 24
489,1.31984221429939,103.750394506449,,NIL,NIL,PANDAN GDNS
